FLDnotSvA_01.bed	SnotVFA_01.bed	VandA_01.bed	VandSFnotA_01.bed	VnotSFA_01.bed
mammalian phenotype	100	100	100	100	88.6683310299738
abnormal adipose tissue morphology	100	100	100	100	5.07949779934463
increased brown adipose tissue amount	97.4150946070738	6.92268037740502	9.73237814426436	32.7725464518354	0
increased white adipose tissue amount	55.4852120205457	5.39249174872988	2.59485867307872	9.28277568870703	0.079691931730771
abnormal abdominal fat pad morphology	100	64.7565317226831	99.0842543420403	100	1.37865364810728
abnormal adipose tissue distribution	29.1929775840508	9.50852834517133	5.06963181879406	7.01943885011842	0.222768243588873
abnormal ear pigmentation	16.5032117876569	5.95939674794314	11.0107764564659	11.9730603514991	0.39691005097966
big ears	3.56678848505341	2.7890905837784	1.66472202240901	6.26333395506382	0.410231928476955
small ears	5.54836638250823	34.1627277890948	4.6759470313929	7.42391506916316	0.608784470796254
thick ears	1.10626629374807	0.286377969390249	1.9329240363017	1.84682551390062	0.116664548460856
scaly ears	0.711063623824554	2.29053699295081	0	0.113135498314477	0.152494004038263
prominent ears	3.93450444599412	0.0106280064413252	1.71931782170639	8.56488384633629	0
abnormal ear shape	5.29900781337297	4.50468110182833	1.70177713385747	2.9980678769061	0.0711002925657093
abnormal ear distance/ position	14.0762051054943	41.6589519445309	5.47243347006307	8.38361813585955	0.13720482997679
lowered ear position	6.56525978104943	29.622719091852	3.23898173541305	8.91092514614997	0.190705801652663
otic hypertelorism	4.65715044758165	0.00348449342321619	0.279827101807092	1.13410027326778	0
abnormal inner ear morphology	100	100	25.6778520482859	66.323989394731	2.0344682686003
abnormal malleus morphology	5.39187669958087	63.7837681267706	4.8905258873223	18.9569875822341	1.00078956374991
abnormal tympanic ring morphology	1.95143814240361	63.6545464846111	9.43955982968765	19.3316993081809	1.39298540134856
abnormal cochlea morphology	100	100	19.2160954082187	58.0310326760231	2.46397167716612
cochlear degeneration	45.9201621089466	16.6813460376066	16.9755772449669	15.3012110570245	2.31135039563939
absent scala media	0	1.80516373993361	0	0	0
abnormal inner ear vestibule morphology	19.6920587668188	36.2844104474694	11.3706053329561	12.2995529738149	1.09572587772469
abnormal membranous labyrinth morphology	100	100	25.7509176811118	63.7351867121366	2.31984579188576
absent semicircular canals	0	11.124353178135	0.147863983554843	3.40487349489132	0
abnormal lateral semicircular canal morphology	0.579252610741606	19.4551454126478	0	0.226463060588311	0.226160879436866
abnormal otic capsule morphology	0	48.5479763782129	0.802456876020867	3.077360227287	0.431788984014541
absent middle ear ossicles	19.2858620688101	11.0493800956853	6.88150471742472	9.06172000390876	0.103458297853275
absent endolymphatic duct	0.575032758654115	1.26802944015668	0	0.0713220296932867	0
abnormal organ of Corti morphology	100	88.9554748340567	24.1255253863241	65.6620999595336	2.46037840109295
organ of Corti degeneration	39.8118462984722	11.1281737028529	14.4389087283867	11.0280338557967	1.85252230192447
absent organ of Corti	7.41834310909154	9.5635379252391	0.636240502660805	2.92451124235637	0.149021997575298
abnormal hair cell morphology	100	84.3926480510696	23.8231821808746	62.0663392120064	2.85845901634232
abnormal sulcus ampullaris morphology	0	6.9853620345243	1.36536879611729	0.683368967757979	0.10633402530044
abnormal stria vascularis morphology	24.9966865366383	20.6889116663682	7.61822686769948	11.075168987565	1.01380865280556
abnormal middle ear morphology	11.2348510082984	100	12.0901560328295	33.2865641430916	0.672124727802857
delayed ear emergence	1.24141966202427	0.65495322403157	0	1.12496234874703	0
delayed bone ossification	100	100	29.8450360651017	46.8221133771933	0.703616284351483
fragile skeleton	60.0743558455374	20.4917307797503	10.6071394169253	25.3931952689576	0.865399807603908
increased bone mineral density	63.6572394752696	31.013865670034	48.2611444231848	40.4465778229859	2.68085033060134
decreased bone mineral density	100	100	72.4785545585743	100	3.42409234953388
failure of secondary bone resorption	9.86520051504281	9.350660001284	2.630334953898	4.62838838185684	0.382548612113649
abnormal bone marrow cavity morphology	50.8271781294558	23.6725485425631	26.6245455812998	47.0334638607282	0.272642461155163
osteoporosis	31.4812105937334	34.2259085635855	34.729682669545	23.4271344447203	3.14277325779024
osteopetrosis	37.3997469490022	24.3756609503261	45.9990192292135	47.2408121638124	1.75596568275097
kyphoscoliosis	26.8537391040252	6.37886187971169	8.76882604470006	28.0290363856232	0.270012630318611
axial skeleton hypoplasia	6.87860152753069	0.49272094122515	1.4357890367795	2.24887739773448	0.664383494284454
absent craniofacial bones	6.1218669429414	7.111457674667	7.5217822040652	3.69324426430809	0.977195395427879
abnormal neurocranium morphology	100	100	31.6728748122322	96.1235423720688	0.810674716857738
absent neurocranium	9.96813882387292	13.7008953582945	1.31583958945876	16.7412356138032	0.0385940389346761
