FLDnotSvA_01.bed	SnotVFA_01.bed	VandA_01.bed	VandSFnotA_01.bed	VnotSFA_01.bed
mammalian phenotype	Inf	Inf	Inf	Inf	88.6683310299738
abnormal adipose tissue morphology	Inf	259.367847101713	208.581826215855	Inf	5.07949779934463
increased brown adipose tissue amount	97.4150946070738	6.92268037740502	9.73237814426436	32.7725464518354	0
increased white adipose tissue amount	55.4852120205457	5.39249174872988	2.59485867307872	9.28277568870703	0.079691931730771
abnormal abdominal fat pad morphology	276.997265436967	64.7565317226831	99.0842543420403	155.571632394573	1.37865364810728
abnormal adipose tissue distribution	29.1929775840508	9.50852834517133	5.06963181879406	7.01943885011842	0.222768243588873
abnormal ear pigmentation	16.5032117876569	5.95939674794314	11.0107764564659	11.9730603514991	0.396910050979659
big ears	3.56678848505341	2.7890905837784	1.66472202240901	6.26333395506382	0.410231928476955
small ears	5.54836638250823	34.1627277890948	4.6759470313929	7.42391506916315	0.608784470796253
scaly ears	0.711063623824553	2.29053699295081	0	0.113135498314477	0.152494004038263
prominent ears	3.93450444599413	0.0106280064413254	1.71931782170639	8.56488384633629	0
abnormal ear shape	5.29900781337297	4.50468110182833	1.70177713385747	2.9980678769061	0.0711002925657096
abnormal ear distance/ position	14.0762051054943	41.6589519445309	5.47243347006307	8.38361813585955	0.13720482997679
lowered ear position	6.56525978104943	29.622719091852	3.23898173541305	8.91092514614997	0.190705801652663
otic hypertelorism	4.65715044758165	0.00348449342321614	0.279827101807092	1.13410027326778	0
abnormal inner ear morphology	161.83390812544	178.16031400862	25.6778520482859	66.323989394731	2.0344682686003
abnormal malleus morphology	5.39187669958087	63.7837681267706	4.8905258873223	18.9569875822341	1.00078956374991
abnormal tympanic ring morphology	1.95143814240361	63.6545464846111	9.43955982968765	19.3316993081809	1.39298540134856
abnormal cochlea morphology	138.306002467837	133.684806320509	19.2160954082187	58.0310326760231	2.46397167716612
cochlear degeneration	45.9201621089466	16.6813460376066	16.9755772449669	15.3012110570245	2.31135039563939
abnormal inner ear vestibule morphology	19.6920587668188	36.2844104474694	11.3706053329561	12.2995529738149	1.09572587772469
abnormal membranous labyrinth morphology	147.788080574458	130.940548616404	25.7509176811118	63.7351867121366	2.31984579188576
absent semicircular canals	0	11.124353178135	0.147863983554843	3.40487349489132	0
abnormal lateral semicircular canal morphology	0.579252610741607	19.4551454126478	0	0.226463060588311	0.226160879436866
abnormal otic capsule morphology	0	48.5479763782129	0.802456876020866	3.077360227287	0.431788984014541
absent middle ear ossicles	19.2858620688101	11.0493800956853	6.88150471742472	9.06172000390876	0.103458297853275
abnormal organ of Corti morphology	152.247843235825	88.9554748340567	24.1255253863241	65.6620999595336	2.46037840109295
